"book","lesson","audio_1","text_4","text_2","text_3","text_1"
"1","2","1023怡君：不是，是我妹妹。這是我爸爸、媽媽。.mp3","不是，是我妹妹。這是我爸爸、媽媽。","No, that is my younger sister. Those are my dad and mom.","Bú shì, shì wǒ mèimei. Zhè shì wǒ bàba, māma.","不是，是我妹妹。這是我爸爸、媽媽。"
"1","2","1024安同：你家人都很好看。.mp3","你家人都很好看。","The people in your family are very good-looking.","Nǐ jiārén dōu hěn hǎokàn.","你家人都很好看。"
"1","2","1025明華：田中，歡迎！歡迎！請進。.mp3","田中，歡迎！歡迎！請進。","Tianzhong, welcome, welcome. Please come in.","Tiánzhōng, huānyíng! Huānyíng! Qǐng jìn.","田中，歡迎！歡迎！請進。"
"1","2","1026田中：謝謝。.mp3","謝謝。","Thank you!","Xièxie.","謝謝。"
"1","2","1027明華：田中，這是我媽媽。.mp3","田中，這是我媽媽。","Tianzhong, this is my mom.","Tiánzhōng, zhè shì wǒ māma.","田中，這是我媽媽。"
"1","2","1028田中：伯母，您好。.mp3","伯母，您好。","Mrs. Li (literary 'Auntie'), how are you?","Bómǔ, nín hǎo.","伯母，您好。"
"1","2","1029明華的媽媽：你好，你好。來！來！來！請坐。你叫什麼名字？.mp3","你好，你好。來！來！來！請坐。你叫什麼名字？","Hello. Come in. Come. Please have a seat. What's your name?","Nǐ hǎo, nǐ hǎo. Lái! Lái! Lái! Qǐng zuò. Nǐ jiào shénme míngzi?","你好，你好。來！來！來！請坐。你叫什麼名字？"
"1","2","1030田中：我叫誠一。你們家有很多書。.mp3","我叫誠一。你們家有很多書。","My name is Chengyi. You have a lot of books.","Wǒ jiào Chéngyī. Nǐmen jiā yǒu hěn duō shū.","我叫誠一。你們家有很多書。"
"1","2","1031明華：都是我哥哥的書。他是老師，他很喜歡看書。.mp3","都是我哥哥的書。他是老師，他很喜歡看書。","They are all mine brother's books. He is a teacher. He likes to read.","Dōu shì wǒ gēge de shū. Tā shì lǎoshī, tā hěn xǐhuān kànshū.","都是我哥哥的書。他是老師，他很喜歡看書。"
"1","2","1032明華的媽媽：誠一，你家有幾個人？你有沒有兄弟姐妹？.mp3","誠一，你家有幾個人？你有沒有兄弟姐妹？","Chengyi, how many people are there in your family? Do you have any brother's or sisters?","Chéngyī, nǐ jiā yǒu jǐ ge rén? Nǐ yǒu méi yǒu xiōngdì jiěmèi?","誠一，你家有幾個人？你有沒有兄弟姐妹？"
"1","2","1033田中：我家有五個人，我有兩個妹妹。.mp3","我家有五個人，我有兩個妹妹。","There are five people in my family. I have two younger sisters.","Wǒ jiā yǒu wǔ ge rén, wǒ yǒu liǎng ge mèimei.","我家有五個人，我有兩個妹妹。"
"1","3","1034週末做什麼？.mp3","週末做什麼？","What Are You Doing Over the Weekend?","zhōumò zuò shénme","週末做什麼？"
"1","3","1035安同：田中，你喜歡聽音樂嗎？.mp3","田中，你喜歡聽音樂嗎？","Tianzhong, do you like listening to music?","Tiánzhōng, nǐ xǐhuān tīng yīnyuè ma?","田中，你喜歡聽音樂嗎？"
"1","3","1036田中：我不喜歡聽音樂。我喜歡運動。.mp3","我不喜歡聽音樂。我喜歡運動。","I don't like listening to music. I like to exercise.","Wǒ bù xǐhuān tīng yīnyuè. Wǒ xǐhuān yùndòng.","我不喜歡聽音樂。我喜歡運動。"
"1","3","1037安同：你喜歡打網球嗎？.mp3","你喜歡打網球嗎？","Do you like to play tennis?","Nǐ xǐhuān dǎ wǎngqiú ma?","你喜歡打網球嗎？"
"1","3","1038田中：我不喜歡打網球。.mp3","我不喜歡打網球。","I don't like to play tennis.","Wǒ bù xǐhuān dǎ wǎngqiú.","我不喜歡打網球。"
"1","3","1039安同：你喜歡做什麼？.mp3","你喜歡做什麼？","What do you like to do?","Nǐ xǐhuān zuò shénme?","你喜歡做什麼？"
"1","3","1040田中：打棒球和游泳，你呢？.mp3","打棒球和游泳，你呢？","Play baseball and swim. And you?","Dǎ bàngqiú hàn yóuyǒng, nǐ ne?","打棒球和游泳，你呢？"
"1","3","1041安同：我常打籃球，也常踢足球。.mp3","我常打籃球，也常踢足球。","I often play basketball and also often play soccer.","Wǒ cháng dǎ lánqiú, yě cháng tī zúqiú.","我常打籃球，也常踢足球。"
"1","3","1042田中：我覺得踢足球很好玩。.mp3","我覺得踢足球很好玩。","I think soccer is fun.","Wǒ juéde tī zúqiú hěn hǎowán.","我覺得踢足球很好玩。"
"1","3","1043安同：明天是週末，我們早上去踢足球，怎麼樣？.mp3","明天是週末，我們早上去踢足球，怎麼樣？","The weekend is tomorrow. How about we go play soccer tomorrow morning?","Míngtiān shì zhōumò, Wǒmen zǎoshàng qù tī zúqiú, zěnmeyàng?","明天是週末，我們早上去踢足球，怎麼樣？"
"1","3","1044田中：好啊！.mp3","好啊！","Great!","Hǎo a!","好啊！"
"1","3","1045如玉：今天晚上我們去看電影，好不好？.mp3","今天晚上我們去看電影，好不好？","Let's go see a movie tonight, OK?","Jīntiān wǎnshàng wǒmen qù kàn diànyǐng, hǎo bù hǎo?","今天晚上我們去看電影，好不好？"
"1","3","1046月美：好啊！.mp3","好啊！","Sure.","Hǎo a!","好啊！"
"1","3","1047如玉：妳想看美國電影還是臺灣電影？.mp3","妳想看美國電影還是臺灣電影？","Do (f) you want to see an American movie or a Taiwanese movie?","Nǎi xiǎng kàn Měiguó diànyǐng háishì Táiwān diànyǐng?","妳想看美國電影還是臺灣電影？"
"1","3","1048月美：美國電影、臺灣電影，我都想看。.mp3","美國電影、臺灣電影，我都想看。","Either an American movie or a Taiwanese movie is fine with me.","Měiguó diànyǐng, Táiwān diànyǐng, wǒ dōu xiǎng kàn.","美國電影、臺灣電影，我都想看。"
"1","3","1049如玉：我們看臺灣電影吧！.mp3","我們看臺灣電影吧！","Let's go ahead and see a Taiwanese movie.","Wǒmen kàn Táiwān diànyǐng ba!","我們看臺灣電影吧！"
"1","3","1050月美：好啊！看電影可以學中文。.mp3","好啊！看電影可以學中文。","That's fine. Watching movies, I can learn Chinese.","Hǎo a! Kàn diànyǐng kěyǐ xué Zhōngwén.","好啊！看電影可以學中文。"
"1","3","1051如玉：晚上要不要一起吃晚飯？.mp3","晚上要不要一起吃晚飯？","Would you like to have dinner together tonight?","Wǎnshàng yào bú yào yìqǐ chī wǎnfàn?","晚上要不要一起吃晚飯？"
"1","3","1052月美：好，我們去吃越南菜。.mp3","好，我們去吃越南菜。","Okay. Let's go have Vietnamese food.","Hǎo, wǒmen qù chī Yuènán cài.","好，我們去吃越南菜。"
"1","4","1053請問一共多少錢？.mp3","請問一共多少錢？","Excuse Me. How Much Does That Cost in Total?","qǐngwèn yīgòng duōshaoqián","請問一共多少錢？"
"1","4","1054老闆：請問你要買什麼？.mp3","請問你要買什麼？","Excuse me, what would you like (to order)?","Qǐngwèn nǐ yào mǎi shénme?","請問你要買什麼？"
"1","4","1055月華：一杯熱咖啡。兩個包子。.mp3","一杯熱咖啡。兩個包子。","A cup of hot coffee and two Baozi.","Yì bēi rè kāfēi. Liǎng ge bāozi.","一杯熱咖啡。兩個包子。"
"1","4","1056老闆：你要大杯、中杯還是小杯？.mp3","你要大杯、中杯還是小杯？","Would you like a large, medium or small cup?","Nǐ yào dà bēi, zhōng bēi háishì xiǎo bēi?","你要大杯、中杯還是小杯？"
"1","4","1057月華：大杯。包子請幫我微波。.mp3","大杯。包子請幫我微波。","Large. Please microwave the Baozi for me.","Dà bēi. Bāozi qǐng bāng wǒ wéibō.","大杯。包子請幫我微波。"
"1","4","1058老闆：好的。請問外帶還是內用？.mp3","好的。請問外帶還是內用？","OK. Excuse me. Is this to go or for here?","Hǎode. Qǐngwèn wàidài háishì nèiyòng?","好的。請問外帶還是內用？"
"1","4","1059月華：外帶，一共多少錢？.mp3","外帶，一共多少錢？","To go. How much does that cost altogether?","Wàidài, yígòng duōshǎo qián?","外帶，一共多少錢？"
"1","4","1060老闆：咖啡八十，包子四十，一共一百二十塊。.mp3","咖啡八十，包子四十，一共一百二十塊。","80 for the coffee, 40 for the Baozi. That will be 120 in total.","Kāfēi bāshí, bāozi sìshí, yígòng yìbǎi èrshí kuài.","咖啡八十，包子四十，一共一百二十塊。"
"1","4","1061月美：我想買一支新手機。.mp3","我想買一支新手機。","I want to buy a new cell phone.","Wǒ xiǎng mǎi yì zhī xīn shǒujī.","我想買一支新手機。"
"1","4","1062明華：妳的手機很好。為什麼要買新的？.mp3","妳的手機很好。為什麼要買新的？","(f) Your cell phone is fine. Why do you want to buy a new one?","Nǐ de shǒujī hěn hǎo. Wèishénme yào mǎi xīn de?","妳的手機很好。為什麼要買新的？"
"1","4","1063月美：我這支手機太舊了，不好看。.mp3","我這支手機太舊了，不好看。","This one of mine is too old. It is unattractive.","Wǒ zhè zhī shǒujī tài jiù le, bù hǎokàn.","我這支手機太舊了，不好看。"
"1","4","1064明華：妳想買哪種手機？.mp3","妳想買哪種手機？","What kind of cell phone do (f) you want to buy?","Nǐ xiǎng mǎi nǎ zhǒng shǒujī?","妳想買哪種手機？"
"1","4","1065月美：能照相也能上網。.mp3","能照相也能上網。","One that can take photos and go online.","Néng zhàoxiàng yě néng shàngwǎng.","能照相也能上網。"
"1","4","1066明華：那種手機很好，我哥哥有一支。.mp3","那種手機很好，我哥哥有一支。","Those kinds of cell phones are good. My brother has one.","Nà zhǒng shǒujī hěn hǎo, wǒ gēge yǒu yì zhī.","那種手機很好，我哥哥有一支。"
"1","4","1067月美：貴不貴？一支賣多少錢？.mp3","貴不貴？一支賣多少錢？","Are they expensive? How much does one cost?","Guì bú guì? Yì zhī mài duōshǎo qián?","貴不貴？一支賣多少錢？"
"1","4","1068明華：那種手機不便宜。一支要一萬五千多。.mp3","那種手機不便宜。一支要一萬五千多。","That kind of cell phone is not cheap. One costs over NTD 15,000.","Nà zhǒng shǒujī bù piányí. Yì zhī yào yíwàn wǔqiān duō.","那種手機不便宜。一支要一萬五千多。"
"1","5","1069牛肉麵真好吃.mp3","牛肉麵真好吃","Beef Noodles Are Really Delicious","niúròumiàn zhēn hǎo chī","牛肉麵真好吃"
"1","5","1070月美：很多人都說臺灣有不少有名的小吃。.mp3","很多人都說臺灣有不少有名的小吃。","Many people say Taiwan has quite a few well-known snacks.","Hěn duō rén dōu shuō Táiwān yǒu bù shǎo yǒumíng de xiǎochī.","很多人都說臺灣有不少有名的小吃。"
"1","5","1071明華：是啊！牛肉麵、小籠包、臭豆腐...都很好吃。.mp3","是啊！牛肉麵、小籠包、臭豆腐...都很好吃。","That's right. Beef noodles, xiaolongbao, stinky tofu... are all tasty.","Shì a. Niúròu miàn, xiǎolóngbāo, chòu dòufǔ... dōu hěn hǎochī.","是啊！牛肉麵、小籠包、臭豆腐...都很好吃。"
"1","5","1072月美：你最喜歡吃什麼？.mp3","你最喜歡吃什麼？","What do you like to eat most?","Nǐ zuì xǐhuān chī shénme?","你最喜歡吃什麼？"
"1","5","1073明華：牛肉麵。牛肉好吃，湯也好喝。.mp3","牛肉麵。牛肉好吃，湯也好喝。","Beef noodles. The beef tastes good and the soup is nice.","Niúròu miàn. Niúròu hǎochī, tāng yě hǎohē.","牛肉麵。牛肉好吃，湯也好喝。"
"1","5","1074月美：這麼好吃，我很想吃。.mp3","這麼好吃，我很想吃。","(That) so tasty. I would like to have some.","Zhème hǎochī, wǒ hěn xiǎng chī.","這麼好吃，我很想吃。"
"1","5","1075明華：我知道一家有名的牛肉麵店，我們一起去吃，怎麼樣？.mp3","我知道一家有名的牛肉麵店，我們一起去吃，怎麼樣？","I know a place that is well known for its beef noodles. Let's go together and have some. What do you say?","Wǒ zhīdào yì jiā yǒumíng de niúròu miàn diàn, Wǒmen yìqǐ qù chī, zěnmeyàng?","我知道一家有名的牛肉麵店，我們一起去吃，怎麼樣？"
"1","5","1076月美：太好了！.mp3","太好了！","Wonderful!","Tài hǎo le!","太好了！"
"1","5","1077明華：我們明天去。一定要點大碗的。.mp3","我們明天去。一定要點大碗的。","Let's go tomorrow. You really have to order a large bowl.","Wǒmen míngtiān qù. Yídìng yào diǎn dà wǎn de.","我們明天去。一定要點大碗的。"
"1","5","1078月美：昨天晚上那家餐廳的菜很好吃，可是有一點辣。.mp3","昨天晚上那家餐廳的菜很好吃，可是有一點辣。","The food at the restaurant last night was good, but it was a bit spicy.","Zuótiān wǎnshàng nà jiā cāntīng de cài hěn hǎochī, kěshì yǒu yìdiǎn là.","昨天晚上那家餐廳的菜很好吃，可是有一點辣。"
"1","5","1079安同：我也怕辣，所以我喜歡自己做飯。.mp3","我也怕辣，所以我喜歡自己做飯。","I can't take spicy (food), either. That's why I prefer to cook for myself.","Wǒ yě pà là, suǒyǐ wǒ xǐhuān zìjǐ zuòfàn.","我也怕辣，所以我喜歡自己做飯。"
"1","5","1080月美：你做飯做得怎麼樣？.mp3","你做飯做得怎麼樣？","How well do you cook?","Nǐ zuòfàn zuò de zěnmeyàng?","你做飯做得怎麼樣？"
"1","5","1081安同：我做得不好。妳會做飯嗎？.mp3","我做得不好。妳會做飯嗎？","I don't cook well. Can (f) you cook?","Wǒ zuò de bù hǎo. Nǐ huì zuòfàn ma?","我做得不好。妳會做飯嗎？"
"1","5","1082月美：會。我的甜點也做得不錯。.mp3","會。我的甜點也做得不錯。","Yes. I make good desserts, too.","Huì. Wǒ de tiándiǎn yě zuò de búcuò.","會。我的甜點也做得不錯。"
"1","5","1083安同：我最喜歡吃甜點。妳可以教我嗎？.mp3","我最喜歡吃甜點。妳可以教我嗎？","I like eating desserts most. Could (f) you teach me?","Wǒ zuì xǐhuān chī tiándiǎn. Nǐ kěyǐ jiāo wǒ ma?","我最喜歡吃甜點。妳可以教我嗎？"
"1","5","1084月美：好的，這個週末，你到我家來。.mp3","好的，這個週末，你到我家來。","Sure. Come over to my place this weekend.","Hǎode, zhè ge zhōumò, nǐ dào wǒ jiā lái.","好的，這個週末，你到我家來。"
"1","5","1085安同：好啊！謝謝妳。.mp3","好啊！謝謝妳。","Great! Thank (f) you.","Hǎo a! Xièxie nǐ.","好啊！謝謝妳。"
"1","6","1086他們學校在山上.mp3","他們學校在山上","Their School Is Up in the Mountains","tāmen xuéxiào zài shānshàng","他們學校在山上"
"1","6","1087安同：聽說怡君的學校很漂亮。.mp3","聽說怡君的學校很漂亮。","I heard Yijun's school is very beautiful.","Tīngshuō Yíjūn de xuéxiào hěn piàoliàng.","聽說怡君的學校很漂亮。"
"1","6","1088如玉：他們學校在哪裡？遠不遠？.mp3","他們學校在哪裡？遠不遠？","Where is her school? Is it far?","Tāmen xuéxiào zài nǎlǐ? Yuǎn bù yuǎn?","他們學校在哪裡？遠不遠？"
"1","6","1089安同：有一點遠。他們學校在花蓮的山上。.mp3","有一點遠。他們學校在花蓮的山上。","It is a bit far. Her school is up in the mountains in Hualien.","Yǒu yìdiǎn yuǎn. Tāmen xuéxiào zài Huālián de shānshàng.","有一點遠。他們學校在花蓮的山上。"
"1","6","1090如玉：山上？那裡的風景一定很美。.mp3","山上？那裡的風景一定很美。","Up in the mountains? The scenery there must be very beautiful.","Shānshàng? Nàlǐ de fēngjǐng yídìng hěn měi.","山上？那裡的風景一定很美。"
"1","6","1091安同：是的，他們學校前面有海，後面有山，那裡真的是一個很漂亮的地方。.mp3","是的，他們學校前面有海，後面有山，那裡真的是一個很漂亮的地方。","Yes. In front of their School is the ocean and behind it there are mountains. It is really a beautiful place.","Shìde, tāmen xuéxiào qiánmiàn yǒu hǎi, hòumiàn yǒu shān, nàlǐ zhēnde shì yí ge hěn piàoliàng de dìfāng.","是的，他們學校前面有海，後面有山，那裡真的是一個很漂亮的地方。"
"1","6","1092如玉：我想去看看。我們這個週末一起去吧！.mp3","我想去看看。我們這個週末一起去吧！","I'd like to go see. Let's go together this weekend.","Wǒ xiǎng qù kànkàn. Wǒmen zhè ge zhōumò yìqǐ qù ba!","我想去看看。我們這個週末一起去吧！"
"1","6","1093安同：好啊！我現在要去學校附近的咖啡店買咖啡。你呢？.mp3","好啊！我現在要去學校附近的咖啡店買咖啡。你呢？","Okay. I am going to go to a cafe near the school now to buy some coffee. How about (f) you?","Hǎo a! Wǒ xiànzài yào qù xuéxiào fùjìn de kāfēi diàn mǎi kāfēi. nǐ ne?","好啊！我現在要去學校附近的咖啡店買咖啡。你呢？"
"1","6","1094如玉：我去樓下找朋友，我們要一起去上課。.mp3","我去樓下找朋友，我們要一起去上課。","I am going to go downstairs to meet a friend. We are going to go to class together.","Wǒ qù lóuxià zhǎo péngyǒu, wǒmen yào yìqǐ qù shàngkè.","我去樓下找朋友，我們要一起去上課。"
"1","6","1095怡君：歡迎你們來。.mp3","歡迎你們來。","Welcome.","Huānyíng nǐmen lái.","歡迎你們來。"
"1","6","1096安同：你們學校真遠！.mp3","你們學校真遠！","Your school is really far.","Nǐmen xuéxiào zhēn yuǎn!","你們學校真遠！"
"1","6","1097怡君：是啊，不是很近，有一點不方便。.mp3","是啊，不是很近，有一點不方便。","Yes. It's not close. It's a little inconvenient.","Shì a, búshì hěn jìn, yǒu yìdiǎn bù fāngbiàn.","是啊，不是很近，有一點不方便。"
"1","6","1098如玉：這裡的學生在哪裡買東西？.mp3","這裡的學生在哪裡買東西？","Where do the students here buy things?","Zhèlǐ de xuéshēng zài nǎlǐ mǎi dōngxi?","這裡的學生在哪裡買東西？"
"1","6","1099怡君：在學校外面。學校裡面沒有商店。.mp3","在學校外面。學校裡面沒有商店。","Outside of the school. There are no shops on campus.","Zài xuéxiào wàimiàn. Xuéxiào lǐmiàn méi yǒu shāngdiàn.","在學校外面。學校裡面沒有商店。"
"1","6","1100安同：吃飯呢？學校裡面有沒有餐廳？.mp3","吃飯呢？學校裡面有沒有餐廳？","How about eating? Do you have restaurants on campus?","Chīfàn ne? Xuéxiào lǐmiàn yǒu méi yǒu cāntīng?","吃飯呢？學校裡面有沒有餐廳？"
"1","6","1101怡君：有，餐廳在學生宿舍的一樓。.mp3","有，餐廳在學生宿舍的一樓。","Yes. The restaurants are located on the first floor of the student dorm.","Yǒu, cāntīng zài xuéshēng sùshè de yì lóu.","有，餐廳在學生宿舍的一樓。"
"1","6","1102安同：前面這棟大樓很漂亮。.mp3","前面這棟大樓很漂亮。","That building in front of us is pretty.","Qiánmiàn zhè dòng dàlóu hěn piàoliàng.","前面這棟大樓很漂亮。"
"1","6","1103怡君：這是圖書館，旁邊的那棟大樓是教室，圖書館後面有游泳池。.mp3","這是圖書館，旁邊的那棟大樓是教室，圖書館後面有游泳池。","This is the library. The building next to to it are the classrooms. Behind the library, there is a swimming pool","Zhè shì túshūguǎn, pángbiān de nà dòng dàlóu shì jiàoshì, túshūguǎn hòumiàn yǒu yóuyǒngchí.","這是圖書館，旁邊的那棟大樓是教室，圖書館後面有游泳池。"
"1","7","1104早上九點去KTV.mp3","早上九點去KTV","Going to KTV at 9 o'clock in the Morning","zǎoshang jiǔ diǎn qù KTV","早上九點去KTV"
"1","7","1105安同：月美，妳要去哪裡？.mp3","月美，妳要去哪裡？","Yuemei, where are you (f) going?","Yuèměi, nǐ yào qù nǎlǐ?","月美，妳要去哪裡？"
"1","7","1106月美：去KTV唱歌。我和朋友九點二十分在大安KTV見面。.mp3","去KTV唱歌。我和朋友九點二十分在大安KTV見面。","To KTV to sing. My friends and I are meeting at Da-an KTV at 9:20.","Qù KTV chànggē. Wǒ hàn péngyǒu jiǔdiǎn èrshí fēn zài Dà'ān KTV jiànmiàn.","去KTV唱歌。我和朋友九點二十分在大安KTV見面。"
"1","7","1107安同：早上九點去KTV？為什麼？.mp3","早上九點去KTV？為什麼？","Going to KTV at 9:00 in the morning? Why?","Zǎoshàng jiǔdiǎn qù KTV? Wèishénme?","早上九點去KTV？為什麼？"
"1","7","1108月美：從早上七點到中午十二點，最便宜。要不要一起去？.mp3","從早上七點到中午十二點，最便宜。要不要一起去？","Because from 7:00 in the morning to 12 noon, it is the least expensive. Do you want to go along?","Cóng zǎoshàng qīdiǎn dào zhōngwǔ shí'èrdiǎn, zuì piányí. Yào bú yào yìqǐ qù?","從早上七點到中午十二點，最便宜。要不要一起去？"
"1","7","1109安同：我想去，可是我得去銀行。下次吧！.mp3","我想去，可是我得去銀行。下次吧！","I would love to, but I have to go to the bank. Maybe next time.","Wǒ xiǎng qù, kěshì wǒ děi qù yínháng. Xià cì ba!","我想去，可是我得去銀行。下次吧！"
"1","7","1110月美：好啊，下次你一定要來，我想聽你唱歌。.mp3","好啊，下次你一定要來，我想聽你唱歌。","Okay. Next time, you have to come. I would like to hear you sing.","Hǎo a, xià cì nǐ yídìng yào lái. Wǒ xiǎng tīng nǐ chànggē.","好啊，下次你一定要來，我想聽你唱歌。"
"1","7","1111安同：沒問題。對了，什麼時候有空一起吃飯？.mp3","沒問題。對了，什麼時候有空一起吃飯？","No problem. By the way, when do you have time to eat with me?","Méi wèntí. Duìle, shénme shíhòu yǒu kòng yìqǐ chīfàn?","沒問題。對了，什麼時候有空一起吃飯？"
"1","7","1112月美：後天我有空，你呢？.mp3","後天我有空，你呢？","I'm free the day after tomorrow. Yourself?","Hòutiān wǒ yǒu kòng, nǐ ne?","後天我有空，你呢？"
"1","7","1113安同：我也有空，後天晚上七點怎麼樣？.mp3","我也有空，後天晚上七點怎麼樣？","I'm also free. How about the day after tomorrow at 7:00 in the evening?","Wǒ yě yǒu kòng, hòutiān wǎnshàng qīdiǎn zěnmeyàng?","我也有空，後天晚上七點怎麼樣？"
"1","7","1114月美：好啊！再見。.mp3","好啊！再見。","Great. See you.","Hǎo a! Zàijiàn.","好啊！再見。"
"1","7","1115安同：如玉，妳在吃飯啊？.mp3","如玉，妳在吃飯啊？","(I see) you (female) are eating, Ruyu?","Rúyù, nǐ zài chīfàn a?","如玉，妳在吃飯啊？"
"1","7","1116如玉：是，吃午餐，等一下要上課。你呢？.mp3","是，吃午餐，等一下要上課。你呢？","Yeah, I'm eating lunch. I have class in a bit. How about you?","Shì, chī wǔcān, děng yíxià yào shàngkè. Nǐ ne?","是，吃午餐，等一下要上課。你呢？"
"1","7","1117安同：我剛下課。對了，下午四點半學校有籃球比賽。妳想去看嗎？.mp3","我剛下課。對了，下午四點半學校有籃球比賽。妳想去看嗎？","I just got out of class. By the way, there is a basketball game at school at 4:30 this afternoon. Would you (f) like to go watch?","Wǒ gāng xiàkè. Duìle, xiàwǔ sìdiǎnbàn xuéxiào yǒu lánqiú bǐsài. Nǐ xiǎng qù kàn ma?","我剛下課。對了，下午四點半學校有籃球比賽。妳想去看嗎？"
"1","7","1118如玉：想啊。比賽幾點結束？.mp3","想啊。比賽幾點結束？","Yes, what time does the game end?","Xiǎng a. Bǐsài jǐdiǎn jiéshù?","想啊。比賽幾點結束？"
"1","7","1119安同：六點半。妳晚上有事嗎？.mp3","六點半。妳晚上有事嗎？","6:30. Do you (f) have something to do this evening?","Liùdiǎnbàn. Nǐ wǎnshàng yǒu shì ma?","六點半。妳晚上有事嗎？"
"1","7","1120如玉：我最近很忙，每天晚上都上書法課。.mp3","我最近很忙，每天晚上都上書法課。","I have been busy lately. I go to calligraphy class every evening.","Wǒ zuìjìn hěn máng, měi tiān wǎnshàng dōu shàng shūfǎ kè.","我最近很忙，每天晚上都上書法課。"
"1","7","1121安同：學得怎麼樣？.mp3","學得怎麼樣？","How is that (studying) going?","Xué de zěnmeyàng?","學得怎麼樣？"
